STATION,BUSYNESS,Station.Latitude,Station.Longitude
AVE X,4422.775,40.58962,-73.97425
Bay 50 ST,3327.141667,40.588841,-73.983765
Bay Parkway,12957.66389,40.601875,-73.993728
Bay Parkway-22 AVE,11491.41389,40.620769,-73.975264
Bay Ridge AVE,10349.71389,40.634967,-74.023377
95 ST,8588.061111,40.616622,-74.030876
Baychester AVE,3925.361111,40.878663,-73.838591
Beach 105 ST,597.4625,40.583209,-73.827559
Beach 25 ST,1736.675,40.600066,-73.761353
Beach 36 ST,885.4166667,40.595398,-73.768175
Beach 44 ST,592.1194444,40.592943,-73.776013
Beach 60 ST,2575.611111,40.592374,-73.788522
Beach 67 ST,2246.6,40.590927,-73.796924
Beach 90 ST,1006.891667,40.588034,-73.813641
Beach 98 ST,886.0916667,40.585307,-73.820558
DeKalb AVE,44335.01389,40.690635,-73.981824
Prospect Park,19482.86667,40.661614,-73.962246
25 ST,11163.13611,40.660397,-73.998091
39 AVE-Beebe AVE,5663.897222,40.752882,-73.932755
Bergen ST,23211.15278,40.686145,-73.990862
25 ST,4391.147222,40.660397,-73.998091
Beverly Rd,4592.280556,40.644031,-73.964492
Bleecker ST,16473.57778,40.725915,-73.994659
Borough Hall,53509.15833,40.693219,-73.989998
Botanic Gaens,3773.519444,40.670343,-73.959245
Bowery,5453.266667,40.72028,-73.993915
Bowling Green,51778.98889,40.704817,-74.014065
88 ST-Boyd AVE,4444.708333,40.679843,-73.85147
Brighton Beach,19093.65556,40.577621,-73.961376
Broad Channel,235.5208333,40.608382,-73.815925
Broad ST,5561.308333,40.706476,-74.011056
Broadway,5517.863889,40.76182,-73.925508
Broadway-Lafayette ST,21849.35556,40.725297,-73.996204
East Broadway,17428.59444,40.713715,-73.990173
East Broadway,49923.775,40.713715,-73.990173
Bronx Park East,3539.702778,40.848828,-73.868457
Brook AVE,10365.00833,40.807566,-73.91924
Brooklyn Bridge-City Hall,38075.08889,40.712868,-74.004806
Buhre AVE,4288.727778,40.84681,-73.832569
Burke AVE,4234.769444,40.871356,-73.867164
Burnside AVE,16102.77778,40.853453,-73.907684
Bushwick AVE,2589.877778,40.682829,-73.905249
Canal ST,114255.1306,40.720824,-74.005229
Carroll ST,15580.13333,40.680303,-73.995048
Castle Hill AVE,9504.5,40.834255,-73.851222
110 ST,10737.1,40.79502,-73.94425
Central AVE,3925.625,40.697857,-73.927397
Chambers ST,102701.9,40.714111,-74.008585
Chauncey ST,3832.208333,40.682893,-73.910456
Christopher ST,26366.39722,40.733422,-74.002906
Church AVE,57106.21111,40.644041,-73.979678
City Hall,26940.57222,40.713282,-74.006978
Clark ST,10288.86944,40.697466,-73.993086
Classon AVE,7776.897222,40.688873,-73.96007
25 ST,5858.211111,40.660397,-73.998091
Clinton-Washington AVEs,15716.58333,40.688089,-73.966839
Cortelyou Rd,6329.908333,40.640927,-73.963891
25 ST,7741.769444,40.660397,-73.998091
Court ST,20291.94167,40.6941,-73.991777
23 ST,8329.694444,40.742878,-73.992821
Crescent ST,8643.766667,40.683194,-73.873785
Utica AVE,41792.67222,40.668897,-73.932942
Cypress AVE,5603.827778,40.805368,-73.914042
Cypress Hills,2047.097222,40.689941,-73.87255
DeKalb AVE,37749.06667,40.690635,-73.981824
Delancey ST,24905.81389,40.718611,-73.988114
Ditmars Blvd,28938.63889,40.775036,-73.912034
