STATION,NET_ENTRIES,NET_EXITS,BUSYNESS
BAY RIDGE-95 ST,5848.0,3986.0,9834.0
BAYCHESTER AVE,3649.0,497.0,4146.0
BEACH 105 ST,182.0,229.0,411.0
BEACH 25 ST,1354.0,1551.0,2905.0
BEACH 36 ST,767.0,833.0,1600.0
BEACH 44 ST,480.0,558.0,1038.0
BEACH 60 ST,2131.0,2048.0,4179.0
BEACH 67 ST,1735.0,1916.0,3651.0
BEACH 90 ST,691.0,704.0,1395.0
BEACH 98 ST,466.0,442.0,908.0
BEDFORD AVE,27138.0,19452.0,46590.0
BEDFORD PARK BL,10884.0,8965.0,19849.0
BEDFORD/NOSTRAN,7272.0,5297.0,12569.0
BEEBE-39 AVE,3386.0,3646.0,7032.0
BERGEN ST,14503.0,9829.0,24332.0
BEVERLEY ROAD,965.0,2229.0,3194.0
BEVERLY ROAD,4185.0,728.0,4913.0
BLEECKER ST,13288.0,4738.0,18026.0
BOROUGH HALL/CT,37204.0,25064.0,62268.0
BOTANIC GARDEN,1673.0,2097.0,3770.0
BOWERY,2673.0,2777.0,5450.0
BOWLING GREEN,30869.0,29119.0,59988.0
BOYD-88 ST,2606.0,2603.0,5209.0
BRIGHTON BEACH,10075.0,8225.0,18300.0
BROAD CHANNEL,250.0,75.0,325.0
BROAD ST,5854.0,2022.0,7876.0
BROADWAY,3159.0,2612.0,5771.0
BROADWAY-31 ST,12707.0,10727.0,23434.0
BROADWAY-ENY,8902.0,9691.0,18593.0
BROADWAY/LAFAY,25705.0,31763.0,57468.0
BRONX PARK EAST,2599.0,916.0,3515.0
BROOK AVE,5882.0,5343.0,11225.0
BROOKLYN BRIDGE,23490.0,20566.0,44056.0
BUHRE AVE,3490.0,1259.0,4749.0
BURKE AVE,3387.0,1168.0,4555.0
BURNSIDE AVE,10449.0,6685.0,17134.0
BUSHWICK AVE,1546.0,1420.0,2966.0
CANAL ST,71432.0,56654.0,128086.0
CARROLL ST,10720.0,5486.0,16206.0
CASTLE HILL AVE,7181.0,3776.0,10957.0
CATHEDRL-110 ST,6824.0,4650.0,11474.0
CHAMBERS ST,66520.0,51021.0,117541.0
CHAUNCEY ST,2765.0,1208.0,3973.0
CHRISTOPHER ST,14324.0,14332.0,28656.0
CHURCH AVE,37470.0,26162.0,63632.0
CITY / BUS,16307.0,17008.0,33315.0
CLARK ST,5932.0,4488.0,10420.0
CLASSON AVE,4360.0,4122.0,8482.0
CLEVELAND ST,2984.0,3092.0,6076.0
CLINTON-WASH AV,11125.0,5693.0,16818.0
CORTELYOU ROAD,3435.0,1013.0,4448.0
CORTLANDT ST,6984.0,5405.0,12389.0
COURT SQ,13401.0,10948.0,24349.0
COURT SQ-23 ST,6589.0,2668.0,9257.0
CRESCENT ST,4357.0,4563.0,8920.0
CROWN HTS-UTICA,26517.0,19750.0,46267.0
CYPRESS AVE,3650.0,2260.0,5910.0
CYPRESS HILLS,1355.0,997.0,2352.0
DEKALB AVE,26843.0,13378.0,40221.0
DELANCEY ST,14221.0,12563.0,26784.0
DITMARS BL-31 S,16144.0,15415.0,31559.0
DITMAS AVE,4191.0,3152.0,7343.0
DYCKMAN ST,6110.0,3627.0,9737.0
